,Celular,Marca,cor,Ram,Hd,num_ship,Valor_real
58,Redmi 9 Dual Sim  Ocean,Samsung,Green,['4 Gb Ram'],['128 Gb'],['2'],1.269
59,Twist 3 S513,Samsung,Vermelho,['1 GB RAM'],['32 GB'],['2'],506
60,2.3    Cyan,Samsung,Green,['2 GB RAM'],['32 GB'],['2'],749
61,P25  32 Mb,Samsung,Preto,['32 MB RAM'],['32 MB'],['2'],109
62,E6S (2020),Samsung,Cinza-Titanium,['2 GB RAM'],['32 GB'],['2'],829
63,Vita Iv,Samsung,Iv,[],[],['2'],116
64,Redmi Note 9    Cinza-,Samsung,Cinza-Meia-Noite,['3 GB RAM'],['64 GB'],['2'],1.365
65,12 Pro Max,Samsung,Max,[],['128 GB'],['1'],9.999
66,Yc-130  32 Mb,Samsung,Preto,['32 MB RAM'],['32 MB'],['2'],174
67,L,Samsung,Preto,['2 GB RAM'],['16 GB'],['2'],584
68,Obasmart3 Dourado Obabox + Fone + Película +,Samsung,+,[],['32gb'],['1'],997
69,Up Play Dual Sim 32 Mb,Samsung,Preto,['32 Mb Ram'],['32 Mb'],['2'],112
70,Redmi 8A,Samsung,Azul-Oceano,['2 GB RAM'],['32 GB'],['2'],844
71,Galaxy S21 5G    Phantom,Samsung,Gray,['8 GB RAM'],['128 GB'],['2'],4.089
72,12,Samsung,12,[],['64 GB'],['1'],6.500
73,E,Samsung,Preto,['512 MB RAM'],['32 GB'],['2'],420
74,Twist S511,Samsung,Cinza,['1 GB RAM'],['16 GB'],['2'],453
75,12 Pro Max,Samsung,Max,[],['256 GB'],['1'],9.999
76,Redmi 9 (Global)   Ocean,Samsung,Green,['4 GB RAM'],['128 GB'],['2'],1.295
77,Mi 8 Lite    Midnight,Samsung,Black,['4 GB RAM'],['64 GB'],['2'],1.310
78,8 Plus,Samsung,Plus,[],['64 GB'],['1'],3.380
79,Multilaser Flip Vita Dual Chip Mp3 Vermelho,Multilaser,Chip,[],[],['1'],219
80,F Pro Dual Sim,Multilaser,Preto,['1 Gb Ram'],['16 Gb'],['2'],446
81,"Nokia C2 Nk011 Tl 5,7   (16+16 Cartão)1Gb",Nokia,32Gb,['1gb Ram'],['32gb'],['1'],639
82,Xiaomi Redmi 9I  4Gb Ram Dual Sim 4G Tela 6.,Xiaomi,Sim,['4gb Ram'],['128gb'],['2'],1.170
83,Nokia  Nk009 Tl 5.3  4Gb Ram Verde,Nokia,4Gb,['4gb Ram'],['128gb'],['1'],1.499
84,"Lg K52 4G Tela 6,59  3Gb Ram",Lg,Gb,['3gb Ram'],['64 Gb'],['1'],1.199
85,"Nokia C2 Nk010  ( +  Cartão) Tela 5,7",Nokia,16Gb,[],"['32gb', '16gb', '16gb']",['1'],599
86,"Lg K52 4G Tela 6,59  3Gb Ram",Lg,Gb,['3gb Ram'],['64 Gb'],['1'],1.199
87,"Lg K62+ 4G Tela 6,6  4Gb Ram",Lg,128Gb,['4gb Ram'],['128gb'],['1'],1.499
88,Samsung Galaxy A12 Tela 6.5  4Gb Ram,Samsung,64Gb,['4gb Ram'],['64gb'],['1'],1.599
89,Multilaser P/ Idoso Teclas Grandes Câmera,Multilaser,Teclas,[],[],['1'],159
90,Asus Zb634Kl Zenfone Max Shot Plus  (+),Asus,Shot,[],"['128gb', '64gb', '64gb']",['1'],999
91,Samsung Galaxy A12 Tela 6.5  4Gb Ram,Samsung,64Gb,['4gb Ram'],['64gb'],['1'],1.399
92,Samsung Galaxy M21S Tela 6.4  4Gb Ram -,Samsung,4Gb,['4gb Ram'],['64gb'],['1'],1.499
93,Samsung Galaxy M21S Tela 6.4  4Gb Ram -,Samsung,4Gb,['4gb Ram'],['64gb'],['1'],1.499
94,"Lg K22 Tela 6,2  2Gb Ram Android",Lg,2Gb,['2gb Ram'],['32gb'],['1'],741
95,"Lg K22 Plus Tela 6,2  3Gb Ram Android",Lg,3Gb,['3gb Ram'],['64gb'],['1'],1.099
96,Asus Zb634Kl Zenfone Max Shot  (+),Asus,Max,[],"['64gb', '32gb', '32gb']",['1'],949
97,"Lg K22 Tela 6,2  2Gb Ram Android",Lg,2Gb,['2gb Ram'],['32gb'],['1'],722
98,"Lg K22 Plus Tela 6,2  3Gb Ram Quad-Core",Lg,3Gb,['3gb Ram'],['64gb'],['1'],1.099
99,Samsung Galaxy A01 Core Tela 5.3  2Gb Ram,Samsung,32Gb,['2gb Ram'],['32gb'],['1'],699
100,"Lg K52 4G Tela 6,59  3Gb Ram",Lg,Gb,['3gb Ram'],['64 Gb'],['1'],1.199
101,Samsung Galaxy A31 A315 Dual  4Gb Ram,Samsung,128Gb,['4gb Ram'],['128gb'],['1'],1.549
102,Poco X3 Nfc Dual Sim  Shadow,Samsung,Gray,['6 Gb Ram'],['64 Gb'],['2'],1.678
103,"Lg K41S 4G Tela 6,55  3Gb Ram Android",Lg,3Gb,['3gb Ram'],['32gb'],['1'],883
104,"Lg K22 Tela 6,2  2Gb Ram Android",Lg,2Gb,['2gb Ram'],['32gb'],['1'],999
105,Samsung Galaxy M31 Tela 6.4  6Gb Ram,Samsung,128Gb,['6gb Ram'],['128gb'],['1'],1.799
106,"Lg K52 4G Tela 6,59  3Gb Ram",Lg,Gb,['3gb Ram'],['64 Gb'],['1'],1.199
107,Samsung Galaxy A01 Tela 5.7  2Gb Ram,Samsung,32Gb,['2gb Ram'],['32gb'],['1'],735
108,Samsung Galaxy M31 Tela 6.4  6Gb Ram -,Samsung,6Gb,['6gb Ram'],['128gb'],['1'],1.799
109,Samsung Galaxy M31 Tela 6.4  6Gb Ram -,Samsung,6Gb,['6gb Ram'],['128gb'],['1'],1.799
110,Samsung Galaxy A31 Tela 6.4  4Gb Ram,Samsung,128Gb,['4gb Ram'],['128gb'],['1'],1.649
111,Redmi Note 8 Dual Sim  Neptune,Samsung,Blue,['4 Gb Ram'],['64 Gb'],['2'],1.289
112,"Lg K41S 4G Tela 6,55  3Gb Ram Android",Lg,3Gb,['3gb Ram'],['32gb'],['1'],999
113,Nokia 110 Preto Rádio Fm E Leitor Mp3 -,Nokia,Leitor,[],[],['1'],151
114,Flip  Idosos 2 Chips Radio Fm Camera,Flip,Radio,[],[],['1'],118
115,Samsung Galaxy A31 A315 Dual  4Gb Ram,Samsung,128Gb,['4gb Ram'],['128gb'],['1'],1.559
116,Samsung Galaxy A01 Core Dual 5.3   2Gb Ram,Samsung,32Gb,['2gb Ram'],['32gb'],['1'],688
117,Samsung A21S Dual 6.5  Octa Core  4Gb Ram,Samsung,64Gb,['4gb Ram'],['64gb'],['1'],1.469
118,Samsung Galaxy A31 A315 Dual  4Gb Ram,Samsung,128Gb,['4gb Ram'],['128gb'],['1'],1.537
119,Samsung Galaxy A01 Core Dual  2Gb Ram,Samsung,32Gb,['2gb Ram'],['32gb'],['1'],677
120,Samsung Galaxy A01 Core Tela 5.3  2Gb Ram,Samsung,32Gb,['2gb Ram'],['32gb'],['1'],699
121,Samsung Galaxy A10S Dual 6.2  4G  A107,Samsung,4G,[],['32gb'],['1'],999
122,Samsung Galaxy A01  2Gb Ram Tela 5.7,Samsung,Ram,['2gb Ram'],['32gb'],['1'],721
123,Samsung Galaxy A01 Core Tela 5.3  2Gb,Samsung,5.3,['2gb Ram'],['32gb'],['1'],673
124,3 Gold Obabox Smartphone Para A Terceira,Samsung,Para,[],[],['1'],997
125,"Samsung Galaxy S21  5G Tela 6,2   8Gb",Samsung,"6,2",['8gb Ram'],['128gb'],['1'],5.999
126,Samsung Galaxy A11 Dual 6.4   3Gb Ram,Samsung,64Gb,['3gb Ram'],['64gb'],['1'],1.298
127,Samsung Galaxy A51 Tela 6.5  4Gb Ram,Samsung,128Gb,['4gb Ram'],['128gb'],['1'],1.899
