,Celular,Marca,cor,Ram,Hd,num_ship,Valor_real
262,Galaxy A51   Prism Crush,Samsung,Black,['4 GB RAM'],['128 GB'],['1'],2.698
263,"Motorola Moto G 5G Prisma Android 10 6,7",Motorola,Prisma,[],[],['1'],3.148
264,Mi 8 Lite    Midnight,Motorola,Black,['4 GB RAM'],['64 GB'],['2'],1.310
265,Samsung Galaxy S10+ Tela 6.4  8Gb,Samsung,6.4,['8gb Ram'],['128gb'],['1'],3.199
266,Mi 9 Se,Samsung,Azul-Oceano,['6 GB RAM'],['128 GB'],['2'],2.499
267,Yc-230  32 Mb  Preto/,Samsung,Preto/Laranja,['32 MB RAM'],['32 MB'],['2'],104
268,Xiaomi Redmi Note 9 Pro  6Gb,Xiaomi,Pro,['6gb Ram'],['128gb'],['1'],2.099
269,Lg K71 Tela 6.8  4Gb Ram Octa-Core 2.3,Lg,4Gb,['4gb Ram'],['128gb'],['1'],2.299
270,Redmi Note 9 Dual Sim  Verde-Floresta,Lg,Verde-Floresta,['4 Gb Ram'],['128 Gb'],['2'],1.610
271,Redmi 7A (12 Mpx)    Gem,Lg,Blue,['2 GB RAM'],['32 GB'],['2'],841
272,Motorola Moto G8 Power Lite  6.5,Motorola,Lite,[],['64gb'],['1'],1.199
273,Galaxy A20S,Motorola,Preto,['3 GB RAM'],['32 GB'],['2'],1.380
274,P25 Dual Sim 32 Mb,Motorola,Preto,['32 Mb Ram'],['32 Mb'],['2'],93
275,Idosos Internet E Whatsapp Oba Smart 3 Gold,Idosos,Smart,[],[],['1'],997
276,Nokia 2.3 Nk003 4G  2Gb Ram Tela Hd+ 6.2,Nokia,Tela,['2gb Ram'],['32gb'],['1'],799
277,Positivo S509C  Dual Chip 5 Polegadas,Positivo,Chip,[],['32gb'],['1'],499
278,3G Teclado Grande Idoso 2 Chips Lanterna,3G,2,[],[],['1'],120
279,Samsung Galaxy A31 A315 Dual  4Gb Ram,Samsung,128Gb,['4gb Ram'],['128gb'],['1'],1.599
280,Para Idoso Multilaser Vita Flip Dual - Abre E,Para,-,[],[],['1'],229
281,3 Gold Obabox Smartphone Para A Terceira,Para,Para,[],[],['1'],997
282,Redmi 9 Dual Sim  Ocean,Para,Green,['4 Gb Ram'],['128 Gb'],['2'],1.269
283,Iphone 7  Vitrine + Brinde  12X Sem,Para,Brinde,[],['32 Gb'],['1'],1.688
284,Motorola Moto G5 Plus  /,Motorola,Plus,[],['32gb'],['1'],829
285,Samsung Galaxy A12 Dual 6.5  4Gb Ram,Samsung,64Gb,['4gb Ram'],['64gb'],['1'],1.349
286,"Galaxy A10S Dual Sim  Azul 2Gb Ram 6,2",Samsung,2Gb,['2gb Ram'],['32gb'],['2'],849
287,Smartphone Multilaser G Max  4G 6.0'' Octa,Multilaser,4G,[],['32gb'],['1'],669
288,Xiaomi Redmi Note 9  Versão Global Lacrado,Xiaomi,Versão,[],['128gb'],['1'],1.549
289,Up Play Dual Chip Com,Up,Dual,[],[],['1'],84
290,Lg K52 6.6   Lmk420Bmw 04 Câmeras Verde,Lg,04,[],['64gb'],['1'],1.399
291,Samsung Galaxy S10 Tela De 6.1  8Gb,Samsung,6.1,['8gb Ram'],['128gb'],['1'],2.799
292,Obasmart3 Dourado Obabox + Fone + Película +,Samsung,+,[],['32gb'],['1'],997
293,Up Play Dual Sim 32 Mb,Samsung,Preto,['32 Mb Ram'],['32 Mb'],['2'],112
294,Para Idoso Multilaser Up Play Dual  Preto,Para,Play,[],[],['1'],98
295,"Motorola Moto G 5G Prisma Android 10 6,7",Motorola,Prisma,[],[],['1'],3.148
296,"7 Plus  Tela 5,5 Vitrine 4K Promoção",Motorola,Vitrine,[],['32 Gb'],['1'],1.999
297,Samsung Galaxy A71 Tela 6.7  6Gb Ram -,Samsung,6Gb,['6gb Ram'],['128gb'],['1'],2.899
298,E Lite  Câmera 5Mp/5Mp Dual Capa +,Samsung,Dual,[],['32gb'],['1'],397
299,Semp Tcl L5  1Gb Ram Android 5,Semp,Android,['1gb Ram'],"['16gb', '16gb']",['1'],868
300,Redmi 9 Dual Sim  Carbon,Semp,Grey,['4 Gb Ram'],['64 Gb'],['2'],1.158
301,Do Idoso  Letras Grandes Sos Mp3 Smart,Do,Sos,[],['32gb'],['1'],599
302,Nokia Nk007 5.3  Tela 6.5 Octa Core,Nokia,6.5,[],['128gb'],['1'],1.499
303,Multilaser Flip Vita Dual Chip Mp3 Vermelho,Multilaser,Chip,[],[],['1'],219
304,F Pro Dual Sim,Multilaser,Preto,['1 Gb Ram'],['16 Gb'],['2'],446
305,Motorola Moto E7 Plus Bronze Ambar  Cam 48Mp,Motorola,64Gb,[],['64gb'],['1'],1.099
306,Iphone Xr  Original,Motorola,64,[],['64 Gb'],['1'],2.999
307,"Philco Hit P10 Tela 6,2   Space",Philco,Gb,['4 Gb Ram'],['128gb'],['1'],1.299
308,"Lg K62+ 4G Tela 6,6  4Gb Ram",Lg,128Gb,['4gb Ram'],['128gb'],['1'],1.899
309,Redmi Note 8 Pro Dual Sim  Verde-Floresta,Lg,Gb,[],"['128 Gb', '6 Gb']",['2'],1.605
310,Galaxy S9  Display Desconfigurado,Lg,128Gb,[],['128gb'],['1'],1.100
311,Positivo P65 Para Idoso 2 Chips Tecla Sos Rádio,Positivo,Tecla,[],[],['1'],279
312,Redmi Note 8 Pro  Lacrado+,Positivo,Pro,[],['128gb'],['1'],1.740
313,9C  3Ram 100% Original Global Nf+Pelicula Hoje,Positivo,Global,[],['64gb'],['1'],1.174
314,Motorola Xt2073 Moto One Fusion Dual,Motorola,Fusion,[],['128gb'],['1'],1.489
315,Moto G5S /2 Ram |,Motorola,32Gb/2,[],['32gb'],['1'],829
316,Barrinha Infinity Dual Chip Preto Entrada De,Barrinha,Preto,[],[],['1'],94
317,Redmi 9 (Global) Dual Sim  Ocean,Barrinha,Green,['4 Gb Ram'],['64 Gb'],['2'],1.180
318,Xiaomi Redmi Note 8  4Gb Ram Versão,Xiaomi,4Gb,['4gb Ram'],['64gb'],['1'],1.349
319,Positivo P70S Dual Sim 512 Mb,Positivo,256,['256 Mb Ram'],['512 Mb'],['2'],279
320,Flip  Idosos 2 Chips Radio Fm Camera,Flip,Radio,[],[],['1'],118
321,Do Idoso Dual Chip Whatsapp Facebook Teclas,Do,Whatsapp,[],[],['1'],279
322,Redmi9 Roxo  3Gb Ram Global Dual,Do,Ram,['3gb Ram'],['32gb'],['2'],1.099
323,Lg K20 Lm X120Bmw Dual Chip  4G 1Gb Ram,Lg,4G,['1gb Ram'],['16gb'],['1'],720
324,Samsung Galaxy A51  4Gb Ram Octa,Samsung,4Gb,['4gb Ram'],['128gb'],['1'],1.799
325,Lg K62+ K525Bmw Dual 6.5 Hd+  4Gb Ram,Lg,128Gb,['4gb Ram'],['128gb'],['1'],1.398
326,Xiaomi Redmi Note 8 Dual  Neptune Bl+,Xiaomi,Dual,[],['64gb'],['1'],1.269
327,Samsung Galaxy Note20 Tela 6.7  8Gb,Samsung,6.7,['8gb Ram'],['256gb'],['1'],4.399
328,Smartphone Caterpillar S42   Original,Caterpillar,Gb,['3 Gb Ram'],['32gb'],['1'],1.788
329,Bright Dual Chip Camera Lanterna Preto E Roxo,Bright,Preto,[],[],['1'],89
330,Xiaomi Redmi 9A  2Gb Ram Dual Sim,Xiaomi,Ram,['2gb Ram'],['32gb'],['2'],829
331,Xiaomi Redmi 9I  4Gb Ram Dual-Sim Global,Xiaomi,Ram,['4gb Ram'],['64gb'],['1'],1.150
332,Iphone 8 Plus   Red Original Vitrine -,Xiaomi,Original,[],['64 Gb'],['1'],2.899
333,Xiaomi Redmi Note 8  Dual Sim Capa +,Xiaomi,Sim,[],['64gb'],['2'],1.450
334,Samsung A01  5.7 2Gb,Samsung,32Gb,['2gb Ram'],['32gb'],['1'],1.042
335,Motorola Moto G5 Plus  /,Motorola,Plus,[],['32gb'],['1'],829
336,Iphone 7  Original Seminovo - Grande,Motorola,Seminovo,[],['32 Gb'],['1'],1.475
337,3 Obabox O Novo Smartphone Para A 3º Idade,Motorola,A,[],[],['1'],997
338,Samsung Galaxy S10 Tela De 6.1  8Gb,Samsung,6.1,['8gb Ram'],['128gb'],['1'],2.799
339,Samsung Galaxy A31 A315 Dual 6.4  4Gb Ram,Samsung,128Gb,['4gb Ram'],['128gb'],['1'],1.599
340,Iphone 8  Original Desbloqueado Semi-Novo Em,Samsung,Desbloqueado,[],['64gb'],['1'],1.799
341,Realme 7 Pro  Global 8Gb Ram + Capa+,Samsung,8Gb,['8gb Ram'],['128gb'],['1'],2.058
342,7 Plus  Original C/ Garantia E Nota -,Samsung,E,[],['128gb'],['1'],2.599
343,Idosos Internet E Whatsapp Oba Smart 3 Gold,Idosos,Smart,[],[],['1'],997
344,Asus Zenfone Max Pro M2 Dual  6Gb Ram,Asus,64Gb,['6gb Ram'],['64gb'],['1'],1.249
345,Galaxy S10+  Usado Preto,Asus,128Gb,[],['128gb'],['1'],2.339
346,Lg K52  Dual Chip Octa Core,Lg,Chip,[],['64gb'],['1'],1.199
347,Note 9S  6Ram Global Original+Capa+Pelicula+,Lg,128Gb,[],['128gb'],['1'],1.940
348,Idosos Internet E Whatsapp Oba Smart 3 Gold,Idosos,Smart,[],[],['1'],997
349,Nokia 110 Preto Rádio Fm E Leitor Mp3 -,Nokia,Leitor,[],[],['1'],151
350,Mi 10 Lite Dual Sim  Gris,Nokia,Cósmico,['6 Gb Ram'],['64 Gb'],['2'],2.444
351,Iphone 8 Usado Vitrine  Dourado Com,Nokia,64Gb,[],['64gb'],['1'],2.299
352,Redmi 9 Cinza  4Gb Ram Carbon,Nokia,4Gb,['4gb Ram'],['64gb'],['1'],1.209
353,Xr,Nokia,Xr,[],['64 Gb'],['1'],2.999
354,Xiaomi Redmi Note 8 Dual  Neptune Bl+,Xiaomi,Dual,[],['64gb'],['1'],1.269
355,Galaxy A10S Dual Sim  Azul  +,Xiaomi,Gb,['2 Gb Ram'],['32 Gb'],['2'],999
356,Lg K22  2Gb Ram Tela De 6.2 Camera Dupla,Lg,6.2,['2gb Ram'],['32gb'],['1'],1.048
357,Moto G9 Play  4Gb Ram Câm Trip. Tela 6.5,Moto,Trip.,['4gb Ram'],['64gb'],['1'],1.560
358,Iphone 8  Vitrine Original Barato 12X S/,Moto,Barato,[],['64gb'],['1'],2.299
359,Flip  Idosos 2 Chips Radio Fm Camera,Flip,Radio,[],[],['1'],118
360,3 Gold Obabox Smartphone Para A Terceira,Flip,Para,[],[],['1'],997
361,Samsung Galaxy S20 Fe Tela 6.5  6Gb Ram,Samsung,128Gb,['6gb Ram'],['128gb'],['1'],4.499
362,: Iphone 8  Brinde Capinha+Película -,Samsung,Brinde,[],['64gb'],['1'],2.099
363,Motorola One Fusion  4Gb Ram 48Mp,Motorola,4Gb,['4gb Ram'],['128gb'],['1'],1.899
364,Nokia Nk007 Tl 5.3   4Gb Ram,Nokia,128Gb,['4gb Ram'],['128gb'],['1'],1.499
365,"Lg K62 4G Tela 6,6  4Gb Ram",Lg,64Gb,['4gb Ram'],['64gb'],['1'],1.199
366,Redmi 9I  + 4Gb Ram Vglobal Bateria Maior C/,Lg,Vglobal,['4gb Ram'],['128gb'],['1'],1.190
367,"Semp Tcl L7  2Gb Ram Android 5,5",Semp,Ram,['2gb Ram'],['32gb'],['1'],1.018
368,"Simples Modelo Lg B220 Original Ligação, Radio,",Simples,Original,[],[],['1'],169
369,Celular Multilaser Zapp 3G Dual Chip Idoso,Simples,Dual,[],[],['1'],249
370,Positivo Twist 3 S513  Tela 5.5,Positivo,32Gb,[],['32gb'],['1'],793
371,Redmi Note 9 Pro  6Gb Ram Versao Global+,Positivo,Ram,['6gb Ram'],['128gb'],['1'],2.088
372,Galaxy A31  Câmera Quádrupla 48Mp+ 5Mp+8Mp +,Galaxy,Quádrupla,[],['128gb'],['1'],1.549
373,Redmi Note 8 Pro Dual Sim  Cinza-Mineral  R,Galaxy,Cinza-Mineral,[],"['128 Gb', '6 Gb']",['2'],1.618
374,Motorola Moto G9 Plus 6.8   4Gb Ram Azul,Motorola,4Gb,['4gb Ram'],['128gb'],['1'],2.399
375,Iphone Xr  Original,Motorola,64,[],['64 Gb'],['1'],2.999
376,Iphone 7 Plus  Vitrine + Brinde 12X Sem,Motorola,Brinde,[],['128gb'],['1'],2.488
377,3G Teclado Grande Idoso 2 Chips Lanterna,3G,2,[],[],['1'],120
378,Samsung Galaxy A02S Tela 6.5  3Gb Ram,Samsung,32Gb,['3gb Ram'],['32gb'],['1'],1.499
379,Iphone 8 Plus Vitrine  Original Apple Loja Nfe,Samsung,Apple,[],['64gb'],['1'],2.999
380,Redmi 9I  / 4Gb Ram / Dual Sim / 4G / Tela 6.,Samsung,4G,['4gb Ram'],['128gb'],['2'],1.149
381,2 Chips Teclado Grande Idoso Camera Mp3,2,Idoso,[],[],['1'],70
382,Samsung Galaxy J5 J500 Dual Chip,Samsung,Dual,[],['16gb'],['1'],697
383,Note 9S Aurora Blue 4Gb Ram  Rom.,Samsung,4Gb,['4gb Ram'],['64gb'],['1'],1.639
384,Semp Tcl L5  1Gb Ram Android 5,Semp,Android,['1gb Ram'],"['16gb', '16gb']",['1'],868
385,Motorola Moto G8 Plus Xt2019  4Gb 6.3,Motorola,64Gb,[],['64gb'],['1'],1.288
386,Redmi Note 8 Dual Sim  Branco  +Nota,Motorola,4,[],"['64 Gb', '4 Gb']",['2'],1.441
387,"Lg K41S 6,55 3Gb Ram  Dual Chip Octa Core",Lg,Chip,['3gb Ram'],['32gb'],['1'],999
388,Samsung Galaxy A10S  Dual Chip Android Tela 6.2,Samsung,Chip,[],['32gb'],['1'],839
389,Samsung Galaxy A12 Tela 6.5  4Gb Ram,Samsung,64Gb,['4gb Ram'],['64gb'],['1'],1.599
390,Samsung Galaxy A-12  Dual,Samsung,A-12,[],['64gb'],['1'],1.559
391,Redmi Note 9  Scarlet Red(Vermelho Rubi),Samsung,128Gb,[],['128gb'],['1'],1.700
392,Lg K22 Lmk200Bmw 2Gb,Lg,Lmk200Bmw,[],['32gb'],['1'],739
393,3 Obabox O Novo Smartphone Para A 3º Idade,Lg,A,[],[],['1'],997
394,Samsung Galaxy S10 Tela De 6.1  8Gb,Samsung,6.1,['8gb Ram'],['128gb'],['1'],2.799
395,Iphone 7  Original -Vitrine,Samsung,128Gb,[],['128gb'],['1'],1.899
396,Nokia 110 Preto Rádio Fm E Leitor Mp3 -,Nokia,Leitor,[],[],['1'],151
397,Samsung Galaxy A21S -,Samsung,A21S,[],['64 Gb'],['1'],1.499
398,Redmi 9 Dual Sim  Ocean,Samsung,Green,['4 Gb Ram'],['64 Gb'],['2'],1.168
399,Samsung Galaxy S20 -,Samsung,S20,[],['128 Gb'],['1'],4.399
400,Moto E7 Plus  4Gb Ram Câm Dupla Tela 6.4,Moto,Dupla,['4gb Ram'],['64gb'],['1'],1.235
401,"Galaxy A71 Azul 6,7  4G  -",Moto,4G,[],['128gb'],['1'],2.099
402,Redmi 9  Dual Global Lacrado + Capa -,Moto,+,[],['64gb'],['1'],1.169
403,Xiaomi Redmi Note 9  Global Capa +,Xiaomi,Global,[],['128gb'],['1'],1.800
404,Idosos Internet E Whatsapp Oba Smart 3 Gold,Idosos,Smart,[],[],['1'],997
405,"Samsung Galaxy S21  5G Tela 6,2   8Gb",Samsung,"6,2",['8gb Ram'],['128gb'],['1'],5.999
406,Samsung Galaxy A31 A315 Dual 6.4  4Gbram,Samsung,6.4,[],['128gb'],['1'],1.599
407,Xiaomi Redmi 8A Azul-Oceano Dual Sim  3Gb,Xiaomi,Sim,['3gb Ram'],['64gb'],['2'],995
408,"Xr Branco, Com Tela De 6,1 , 4G,  - Mh6N3Br/A",Xiaomi,64,[],['64 Gb'],['1'],4.416
409,"8 Plus  Vitrine Apple Tela 5,5  12X Sem",Xiaomi,"5,5",[],['64gb'],['1'],3.398
410,Iphone 8 Plus  Vitrine + Brinde Envio,Xiaomi,+,[],['64 Gb'],['1'],2.989
411,Note 9S -  Cinza 6Gb Ram - Versão,Xiaomi,Ram,['6gb Ram'],['128gb'],['1'],1.719
412,Galaxy J8  Preto,Xiaomi,J8,[],['64gb'],['1'],819
413,"11 Branco, Com Tela De 6,1 , 4G,  - Mhdc3Br/A",Xiaomi,64,[],['64 Gb'],['1'],5.020
414,Iphone 8 Plus  Semi-Novo Em 12 X Sem Juros C/,Xiaomi,X,[],['64gb'],['1'],2.699
415,Do Idoso Dual Chip Whatsapp Facebook Teclas,Do,Whatsapp,[],[],['1'],279
416,Obasmart3 Dourado Obabox + Fone + Película +,Do,+,[],['32gb'],['1'],997
417,Motorola Xt1683 Moto G5 Plus,Motorola,Moto,[],['32gb'],['1'],829
418,Note 9 Pro  6Ram Global+Capa+Pelicula Nfe Hj,Motorola,Global+Capa+Pelicula,[],['128gb'],['1'],2.175
419,G9 Plus Dual Sim,Motorola,Azul-Índigo,['4 Gb Ram'],['128 Gb'],['2'],2.089
420,Redmi Note 9S  + 6Gb Ram Vs Global+ Nota,Motorola,Vs,['6gb Ram'],['128gb'],['1'],1.757
421,Moto G5S /2 Ram |,Motorola,32Gb/2,[],['32gb'],['1'],829
422,Motorola Moto E7 Plus Bronze Ambar  Cam 48Mp,Motorola,64Gb,[],['64gb'],['1'],1.179
423,Redmi Note8 Pro  6Gb Ram Global+ Nota,Motorola,Ram,['6gb Ram'],['128gb'],['1'],1.679
424,Poco X3 Nfc Dual Sim   +,Motorola,Gb,['6 Gb Ram'],['64 Gb'],['2'],1.669
425,Smartphone Caterpillar S42   Original,Caterpillar,Gb,['3 Gb Ram'],['32gb'],['1'],1.788
426,Iphone 7 Plus  Original Vitrine,Caterpillar,128Gb,[],['128gb'],['1'],2.599
427,"Galaxy A10S Dual Sim  Azul 2Gb Ram 6,2",Caterpillar,2Gb,['2gb Ram'],['32gb'],['2'],849
428,"Smartphone Multilaser F P9130  Biometria 5,5",Multilaser,P9130,[],['32gb'],['1'],529
429,Realme 7  Global 8Gb Ram + Capa +,Realme,+,['8gb Ram'],['128gb'],['1'],1.699
430,Redmi Note 9 Pro  +6Gb Ram Versão,Realme,+6Gb,['6gb Ram'],['128gb'],['1'],1.899
431,Lg K62+ K525Bmw Dual 6.5 Hd+  4Gb Ram,Lg,128Gb,['4gb Ram'],['128gb'],['1'],1.398
432,Samsung Galaxy A10S -,Samsung,A10S,[],['32 Gb'],['1'],899
433,Galaxy A01  5.7 Octa-Core 2.0 Ghz 13Mp -,Samsung,Ghz,[],['32gb'],['1'],898
434,Redmi Note 9 Pro  6Gb Ram Global+ Nota,Samsung,Ram,['6gb Ram'],['128gb'],['1'],1.969
435,"Iphone 7  Plus  5,5 Entrega Já -",Samsung,Entrega,[],['128 Gb'],['1'],2.445
436,Samsung Galaxy A01 Dual 5.7   2Gb Ram,Samsung,32Gb,['2gb Ram'],['32gb'],['1'],720
437,Galaxy A30S Tv  Tela 6.4 Dual Chip,Galaxy,6.4,[],['64gb'],['1'],1.699
438,6S  2Gb Ram Livre,Galaxy,2Gb,['2gb Ram'],['128gb'],['1'],1.498
439,Xiaomi Redmi 9  + 4Gb Ram +Capa+Pelicula+,Xiaomi,+,['4gb Ram'],['64gb'],['1'],1.098
440,Multilaser Up Play Dual Chip Com Camera,Multilaser,Chip,[],[],['1'],97
441,Redmi Note 8 Dual Sim   Versão,Multilaser,Gb,['4 Gb Ram'],['64 Gb'],['2'],1.363
442,Xiaomi Redmi 9 Dual Sim  Sporty Orange 4G,Xiaomi,Sporty,[],['64gb'],['2'],1.200
443,Barato Tela 5 Positivo   Camera Mp3 Dual,Barato,Camera,[],"['16gb', '1 Gb']",['2'],525
444,Asus Zb634Kl Zenfone Max Shot  (+),Asus,Shot,[],"['64gb', '32gb', '32gb']",['1'],1.099
445,7  Original C/ Garantia E Nota -Vitrine,Asus,E,[],['128gb'],['1'],1.899
446,"Xr Preto, Com Tela De 6,1 , 4G,  - Mh6M3Br/A",Asus,64,[],['64 Gb'],['1'],4.416
447,Samsung Galaxy A-12  Dual,Samsung,A-12,[],['64gb'],['1'],1.559
448,"11 Branco, Com Tela De 6,1 , 4G,  - Mhdj3Br/A",Samsung,128,[],['128 Gb'],['1'],5.506
449,Nokia 110 Preto Rádio Fm E Leitor Mp3 -,Nokia,Leitor,[],[],['1'],151
450,Flip  Idosos 2 Chips Radio Fm Camera,Flip,Radio,[],[],['1'],118
451,8 Vitrine  Original Exposição 12X Sem,Flip,Exposição,[],['64 Gb'],['1'],2.199
452,Samsung Galaxy A20S  Azul,Flip,A20S,[],['32gb'],['1'],1.069
453,Samsung Galaxy S20+ Tela De 6.7  8Gb,Samsung,6.7,['8gb Ram'],['128gb'],['1'],4.999
454,"Samsung Galaxy A21S  6,5  Quádrupla",Samsung,64Gb,[],['64gb'],['1'],1.759
455,Motorola Moto E6 Play  Dual Chip 8Mp 4G,Motorola,Chip,[],['32gb'],['1'],999
456,Motorola Moto E6S  Tela De 6.1  4G Câm. 13Mp+,Motorola,6.1,[],['32gb'],['1'],829
457,"11 Vermelho, Com Tela De 6,1 , 4G,  - Mhdk3Br/A",Motorola,128,[],['128 Gb'],['1'],5.506
458,7 Plus  C/ Nf E Garantia. Bateria 100% +,Motorola,Bateria,[],['128gb'],['1'],2.699
459,Redmi Note 9S  + 6Gb Ram Vs Global + Nota,Motorola,Global,['6gb Ram'],['128gb'],['1'],1.849
460,3 Gold Obabox Smartphone Para A Terceira,Motorola,Para,[],[],['1'],997
461,"Samsung Galaxy S21  5G Tela 6,2   8Gb",Samsung,"6,2",['8gb Ram'],['128gb'],['1'],5.999
462,A01 Core Samsung -,Samsung,Core,[],['32gb'],['1'],665
463,Se  Novo! 1 Ano De Garantia Apple! + Brinde!,Samsung,Garantia,[],['32gb'],['1'],1.599
464,"Philco Hit P10 Tela 6,2   Space",Philco,Gb,['4 Gb Ram'],['128gb'],['1'],1.299
465,Samsung Galaxy S20+ Tela De 6.7  8Gb Ram,Samsung,128Gb,['8gb Ram'],['128gb'],['1'],4.999
466,"Positivo P26 Dual Chip 2G Tela 1,8",Positivo,"1,8",['32mb Ram'],['32mb'],['1'],199
467,Redmi Note 8  4Gb Ram Versão Global + Nota,Positivo,Global,['4gb Ram'],['64gb'],['1'],1.349
468,Motorola One Fusion+  4Gb Ram 4G 64Mp,Motorola,Ram,['4gb Ram'],['128gb'],['1'],2.299
469,"Positivo P36 Dual Sim 3G Tela 1,8",Positivo,"1,8",['128mb Ram'],['64mb'],['2'],299
470,Redmi 9 Dual Sim  +  + Nota -,Positivo,+,['4 Gb Ram'],['64 Gb'],['2'],1.350
471,Do Idoso Dual Chip Whatsapp Facebook Teclas,Do,Whatsapp,[],[],['1'],279
472,Obasmart3 Dourado Obabox + Fone + Película +,Do,+,[],['32gb'],['1'],997
473,Motorola Moto X4  Dual Chip Xt1900,Motorola,Dual,[],['32gb'],['1'],949
474,"12 Pro Max Prateado, Tela De 6,7 ,  - Mgd83Bz/A",Motorola,128,[],['128 Gb'],['1'],9.427
475,Iphone 8 Plus  Original Vitrine Desbloqueado,Motorola,Original,[],['64gb'],['1'],2.999
476,G9 Power Dual Sim  Tela De 6.8,Motorola,Purple,['4 Gb Ram'],['128 Gb'],['2'],1.740
477,Smartphone Multilaser G Max  4G 6.0'' Octa,Multilaser,4G,[],['32gb'],['1'],669
478,Redmi Note 8  4Gb  Global +,Multilaser,4Gb,[],['128gb'],['1'],1.458
479,Celular Para Idoso Dual Chip Facil Utilizar Up,Multilaser,Facil,[],[],['1'],84
480,Samsung Galaxy S20 Fe Tela 6.5  6Gb Ram,Samsung,128Gb,['6gb Ram'],['128gb'],['1'],3.199
481,Redmi Note 8 Pro  6Gb Ram Global +,Samsung,Ram,['6gb Ram'],['128gb'],['1'],1.598
482,Lg K10 Lte  Android - Azul - Usado !!,Lg,Azul,[],['16gb'],['1'],597
483,Motorola Moto Z2 Play  Dual,Motorola,Play,[],['64gb'],['1'],1.286
484,Samsung Galaxy A02S Tela 6.5  3Gb Ram,Samsung,32Gb,['3gb Ram'],['32gb'],['1'],1.499
485,"12 Pro Max Grafite, Tela De 6,7 ,  - Mgd73Bz/A",Samsung,128,[],['128 Gb'],['1'],9.427
486,9C  3Ram Top 100% Original Global + Nfe +,Samsung,Global,[],['64gb'],['1'],1.247
487,Samsung Galaxy A31  Tela 6.4,Samsung,128Gb,[],['128gb'],['1'],1.642
488,Redmi Note 9 Pro  6Gb Ram Global,Samsung,6Gb,['6gb Ram'],['128gb'],['1'],2.029
489,Iphone 4S 8Gb Desbloqueado Original Anatel -,Samsung,Original,[],[],['1'],399
490,Motorola One Fusion 6.5   - Verde,Motorola,128Gb,[],['128gb'],['1'],1.829
491,Samsung Galaxy J1 Mini Dual 8Gb J105 -,Samsung,8Gb,[],[],['1'],515
492,X Vitrine  Original Appl Exposição 12X  S/,Samsung,Exposição,[],['256gb'],['1'],3.840
493,Xiaomi Redmi Poço X3  6Gb Versão,Xiaomi,64Gb,[],['64gb'],['1'],1.999
494,7 Plus  Gold(Vitrine) C/ Garantia E Nota,Xiaomi,Garantia,[],['128gb'],['1'],2.700
495,Xiaomi Poco M3 Dual Sim  Cool,Xiaomi,Blue,['4 Gb Ram'],['64 Gb'],['2'],1.276
496,Galaxy A31  Câmera Quádrupla 48Mp+5Mp+ 8Mp +,Galaxy,Quádrupla,[],['128gb'],['1'],1.549
497,Samsung Galaxy A51 -,Samsung,A51,[],['128 Gb'],['1'],1.999
498,"Redmi Note 8, ,4Gb Ram,Global+Capa Envio",Samsung,"64Gb,4Gb",['4gb Ram'],['64gb'],['1'],1.318
499,Samsung Galaxy A10S  Tela 6.2,Samsung,32Gb,[],['32gb'],['1'],1.372
500,Redmi 9 Dual Sim  Carbon,Samsung,Grey,['4 Gb Ram'],['64 Gb'],['2'],1.169
501,Redmi Note 9S  6Gb Ram Versao Global+,Samsung,Ram,['6gb Ram'],['128gb'],['1'],1.759
502,Galaxy A31  Câmera Quádrupla 48Mp+ 5Mp+8Mp +,Galaxy,Quádrupla,[],['128gb'],['1'],1.480
503,9A  2Ram 100% Original Pelicula Envio Imediato,Galaxy,Pelicula,[],['32gb'],['1'],934
504,Iphone 8  Original Desbloqueado Semi-Novo Em,Galaxy,Desbloqueado,[],['64gb'],['1'],1.799
505,Samsung Galaxy S10 Tela De 6.1  8Gb,Samsung,6.1,['8gb Ram'],['128gb'],['1'],2.799
506,3 Obabox O Novo Smartphone Para A 3º Idade,Samsung,A,[],[],['1'],997
507,"7 Plus  Tela 5,5 Apple 4K Promocão -",Samsung,4K,[],['32 Gb'],['1'],2.147
508,Redmi 9I  / 4Gb Ram / Dual Sim / 4G / Tela 6.,Samsung,4G,['4gb Ram'],['128gb'],['2'],1.149
509,Xiaomi Redmi Note 9  Global Capa +,Xiaomi,Global,[],['128gb'],['1'],1.800
510,Iphone 8 Plus  Semi-Novo Em 12 X Sem Juros C/,Xiaomi,X,[],['64gb'],['1'],2.699
511,"Xr Preto, Com Tela De 6,1 , 4G,  - Mh6M3Br/A",Xiaomi,64,[],['64 Gb'],['1'],4.416
512,"11 Branco, Com Tela De 6,1 , 4G,  - Mhdj3Br/A",Xiaomi,128,[],['128 Gb'],['1'],5.506
513,A01 Core Samsung -,Xiaomi,Core,[],['32gb'],['1'],665
514,Redmi Note 8 Pro  6Gb Ram Global +,Xiaomi,Ram,['6gb Ram'],['128gb'],['1'],1.598
515,"12 Pro Max Grafite, Tela De 6,7 ,  - Mgd73Bz/A",Xiaomi,128,[],['128 Gb'],['1'],9.427
516,Idosos Internet E Whatsapp Oba Smart 3 Gold,Idosos,Smart,[],[],['1'],997
517,Nokia 110 Preto Rádio Fm E Leitor Mp3 -,Nokia,Leitor,[],[],['1'],151
